name	description
G_bue1	GBUE020981-PA
G_bue2	GBUE021017-PA
C_hook1	maker-scaffold370-size932106-augustus-gene-7.3-mRNA-1
C_hook2	maker-scaffold167-size1229586-augustus-gene-11.1-mRNA-1
C_hook3	maker-scaffold370-size932106-augustus-gene-7.3-mRNA-1
C_lec1	CLEC025152-PA
C_lec2	CLEC025113-PA
C_lec3	CLEC025236-PA
M_ext1	Medex_00100153-RA
M_ext2	Medex_00096568-RA
N_lug1	XP_022188976.1 homeobox protein engrailed-like ceh-16 [Nilaparvata lugens]
N_lug2	XP_022199337.1 homeobox protein engrailed-1-like [Nilaparvata lugens]
N_lug3	XP_022207918.1 segmentation polarity homeobox protein engrailed-like [Nilaparvata lugens]
F_exs1	XP_029661733.1 homeobox protein engrailed-1a-like [Formica exsecta]
F_exs2	XP_029674962.1 segmentation polarity homeobox protein engrailed-like isoform X1 [Formica exsecta]
A_pis1	XP_001949185.2 homeobox protein engrailed-2 [Acyrthosiphon pisum]
A_pis2	XP_008178223.1 homeobox protein engrailed-1-B-like [Acyrthosiphon pisum]
A_pis3	XP_008189874.1 LOW QUALITY PROTEIN: segmentation polarity homeobox protein engrailed-like [Acyrthosiphon pisum]
C_lec4	XP_014245624.1 homeobox protein engrailed-1a-like [Cimex lectularius]
C_lec5	XP_014246084.1 segmentation polarity homeobox protein engrailed-like [Cimex lectularius]
D_mel1	FBpp0087198 FBgn0000577 en [Drosophila melanogaster]
D_sim1	FBpp0224300 FBgn0044189 en [Drosophila simulans]
D_sim2	FBpp0327509 FBgn0182565 en [Drosophila simulans]
D me	1
N lu	3
F ex	2
A pi	3
G bu	2
C le	5
M ex	2
C ho	3
D si	2
